id	binary label	label	image path
0	Not TV monitor	cow	JPEGImages/2008_000335.jpg
1	Not TV monitor	cow	JPEGImages/2008_000335.jpg
2	Not TV monitor	cow	JPEGImages/2008_000335.jpg
3	Not TV monitor	cow	JPEGImages/2008_000335.jpg
4	Not TV monitor	cow	JPEGImages/2008_000711.jpg
5	Not TV monitor	cow	JPEGImages/2008_000711.jpg
6	Not TV monitor	cow	JPEGImages/2008_000711.jpg
7	Not TV monitor	cow	JPEGImages/2008_000711.jpg
8	Not TV monitor	cow	JPEGImages/2008_000905.jpg
9	Not TV monitor	cow	JPEGImages/2008_001359.jpg
10	Not TV monitor	cow	JPEGImages/2008_001653.jpg
11	Not TV monitor	cow	JPEGImages/2008_001653.jpg
12	Not TV monitor	cow	JPEGImages/2008_001653.jpg
13	Not TV monitor	cow	JPEGImages/2008_001653.jpg
14	Not TV monitor	cow	JPEGImages/2008_001653.jpg
15	Not TV monitor	cow	JPEGImages/2008_001653.jpg
16	Not TV monitor	cow	JPEGImages/2008_001653.jpg
17	Not TV monitor	cow	JPEGImages/2008_001653.jpg
18	Not TV monitor	cow	JPEGImages/2008_002270.jpg
19	Not TV monitor	cow	JPEGImages/2008_002270.jpg
20	Not TV monitor	cow	JPEGImages/2008_002278.jpg
21	Not TV monitor	cow	JPEGImages/2008_002278.jpg
22	Not TV monitor	cow	JPEGImages/2008_002278.jpg
23	Not TV monitor	cow	JPEGImages/2008_002278.jpg
24	Not TV monitor	cow	JPEGImages/2008_002278.jpg
25	Not TV monitor	cow	JPEGImages/2008_002686.jpg
26	Not TV monitor	cow	JPEGImages/2008_002686.jpg
27	Not TV monitor	cow	JPEGImages/2008_002686.jpg
28	Not TV monitor	cow	JPEGImages/2008_003065.jpg
29	Not TV monitor	cow	JPEGImages/2008_003094.jpg
30	Not TV monitor	cow	JPEGImages/2008_003094.jpg
31	Not TV monitor	cow	JPEGImages/2008_003094.jpg
32	Not TV monitor	cow	JPEGImages/2008_003297.jpg
33	Not TV monitor	cow	JPEGImages/2008_003297.jpg
34	Not TV monitor	cow	JPEGImages/2008_004450.jpg
35	Not TV monitor	cow	JPEGImages/2008_004827.jpg
36	Not TV monitor	cow	JPEGImages/2008_004841.jpg
37	Not TV monitor	cow	JPEGImages/2008_005375.jpg
38	Not TV monitor	cow	JPEGImages/2008_005375.jpg
39	Not TV monitor	cow	JPEGImages/2008_005714.jpg
40	Not TV monitor	cow	JPEGImages/2008_006210.jpg
41	Not TV monitor	cow	JPEGImages/2008_006210.jpg
42	Not TV monitor	cow	JPEGImages/2008_006355.jpg
43	Not TV monitor	cow	JPEGImages/2008_006496.jpg
44	Not TV monitor	cow	JPEGImages/2008_006496.jpg
45	Not TV monitor	cow	JPEGImages/2008_006827.jpg
46	Not TV monitor	cow	JPEGImages/2008_006827.jpg
47	Not TV monitor	cow	JPEGImages/2008_006827.jpg
48	Not TV monitor	cow	JPEGImages/2008_006827.jpg
49	Not TV monitor	cow	JPEGImages/2008_006827.jpg
50	Not TV monitor	cow	JPEGImages/2008_006827.jpg
51	Not TV monitor	cow	JPEGImages/2008_007009.jpg
52	Not TV monitor	cow	JPEGImages/2008_007009.jpg
53	Not TV monitor	cow	JPEGImages/2008_007009.jpg
54	Not TV monitor	cow	JPEGImages/2008_007014.jpg
55	Not TV monitor	cow	JPEGImages/2008_007026.jpg
56	Not TV monitor	cow	JPEGImages/2008_007026.jpg
57	Not TV monitor	cow	JPEGImages/2008_007026.jpg
58	Not TV monitor	cow	JPEGImages/2008_007544.jpg
59	Not TV monitor	cow	JPEGImages/2008_007544.jpg
60	Not TV monitor	cow	JPEGImages/2008_007556.jpg
61	Not TV monitor	cow	JPEGImages/2008_007556.jpg
62	Not TV monitor	cow	JPEGImages/2008_007556.jpg
63	Not TV monitor	cow	JPEGImages/2008_007556.jpg
64	Not TV monitor	cow	JPEGImages/2008_007556.jpg
65	Not TV monitor	cow	JPEGImages/2008_007666.jpg
66	Not TV monitor	cow	JPEGImages/2008_007666.jpg
67	Not TV monitor	cow	JPEGImages/2008_007666.jpg
68	Not TV monitor	cow	JPEGImages/2008_007666.jpg
69	Not TV monitor	cow	JPEGImages/2008_007666.jpg
70	Not TV monitor	cow	JPEGImages/2008_007666.jpg
71	Not TV monitor	cow	JPEGImages/2008_007666.jpg
72	Not TV monitor	cow	JPEGImages/2008_007666.jpg
73	Not TV monitor	cow	JPEGImages/2008_008121.jpg
74	Not TV monitor	cow	JPEGImages/2008_008132.jpg
75	Not TV monitor	cow	JPEGImages/2008_008169.jpg
76	Not TV monitor	cow	JPEGImages/2008_008199.jpg
77	Not TV monitor	cow	JPEGImages/2008_008199.jpg
78	Not TV monitor	cow	JPEGImages/2008_008199.jpg
79	Not TV monitor	cow	JPEGImages/2008_008370.jpg
80	Not TV monitor	cow	JPEGImages/2008_008370.jpg
81	Not TV monitor	cow	JPEGImages/2008_008370.jpg
82	Not TV monitor	cow	JPEGImages/2008_008428.jpg
83	Not TV monitor	cow	JPEGImages/2008_008482.jpg
84	Not TV monitor	cow	JPEGImages/2008_008521.jpg
85	Not TV monitor	cow	JPEGImages/2008_008521.jpg
86	Not TV monitor	cow	JPEGImages/2008_008521.jpg
87	Not TV monitor	cow	JPEGImages/2008_008521.jpg
88	Not TV monitor	cow	JPEGImages/2008_008521.jpg
89	Not TV monitor	cow	JPEGImages/2008_008521.jpg
90	Not TV monitor	cow	JPEGImages/2008_008521.jpg
91	Not TV monitor	cow	JPEGImages/2008_008521.jpg
92	Not TV monitor	cow	JPEGImages/2008_008521.jpg
93	Not TV monitor	cow	JPEGImages/2008_008541.jpg
94	Not TV monitor	cow	JPEGImages/2008_008635.jpg
95	Not TV monitor	cow	JPEGImages/2008_008635.jpg
96	Not TV monitor	cow	JPEGImages/2008_008635.jpg
97	Not TV monitor	cow	JPEGImages/2008_008635.jpg
98	Not TV monitor	cow	JPEGImages/2008_008635.jpg
99	Not TV monitor	cow	JPEGImages/2008_008635.jpg
100	Not TV monitor	horse	JPEGImages/2008_000008.jpg
101	Not TV monitor	horse	JPEGImages/2008_000141.jpg
102	Not TV monitor	horse	JPEGImages/2008_000142.jpg
103	Not TV monitor	horse	JPEGImages/2008_000371.jpg
104	Not TV monitor	horse	JPEGImages/2008_000371.jpg
105	Not TV monitor	horse	JPEGImages/2008_000428.jpg
106	Not TV monitor	horse	JPEGImages/2008_000499.jpg
107	Not TV monitor	horse	JPEGImages/2008_000552.jpg
108	Not TV monitor	horse	JPEGImages/2008_000696.jpg
109	Not TV monitor	horse	JPEGImages/2008_000912.jpg
110	Not TV monitor	horse	JPEGImages/2008_000912.jpg
111	Not TV monitor	horse	JPEGImages/2008_001031.jpg
112	Not TV monitor	horse	JPEGImages/2008_001112.jpg
113	Not TV monitor	horse	JPEGImages/2008_001171.jpg
114	Not TV monitor	horse	JPEGImages/2008_001235.jpg
115	Not TV monitor	horse	JPEGImages/2008_001278.jpg
116	Not TV monitor	horse	JPEGImages/2008_001382.jpg
117	Not TV monitor	horse	JPEGImages/2008_001464.jpg
118	Not TV monitor	horse	JPEGImages/2008_001645.jpg
119	Not TV monitor	horse	JPEGImages/2008_001729.jpg
120	Not TV monitor	horse	JPEGImages/2008_002338.jpg
121	Not TV monitor	horse	JPEGImages/2008_002338.jpg
122	Not TV monitor	horse	JPEGImages/2008_002411.jpg
123	Not TV monitor	horse	JPEGImages/2008_002411.jpg
124	Not TV monitor	horse	JPEGImages/2008_002459.jpg
125	Not TV monitor	horse	JPEGImages/2008_002459.jpg
126	Not TV monitor	horse	JPEGImages/2008_002665.jpg
127	Not TV monitor	horse	JPEGImages/2008_002666.jpg
128	Not TV monitor	horse	JPEGImages/2008_002686.jpg
129	Not TV monitor	horse	JPEGImages/2008_002697.jpg
130	Not TV monitor	horse	JPEGImages/2008_002762.jpg
131	Not TV monitor	horse	JPEGImages/2008_002866.jpg
132	Not TV monitor	horse	JPEGImages/2008_002993.jpg
133	Not TV monitor	horse	JPEGImages/2008_003018.jpg
134	Not TV monitor	horse	JPEGImages/2008_003043.jpg
135	Not TV monitor	horse	JPEGImages/2008_003043.jpg
136	Not TV monitor	horse	JPEGImages/2008_003182.jpg
137	Not TV monitor	horse	JPEGImages/2008_003242.jpg
138	Not TV monitor	horse	JPEGImages/2008_003272.jpg
139	Not TV monitor	horse	JPEGImages/2008_003272.jpg
140	Not TV monitor	horse	JPEGImages/2008_003283.jpg
141	Not TV monitor	horse	JPEGImages/2008_003380.jpg
142	Not TV monitor	horse	JPEGImages/2008_003447.jpg
143	Not TV monitor	horse	JPEGImages/2008_003596.jpg
144	Not TV monitor	horse	JPEGImages/2008_003677.jpg
145	Not TV monitor	horse	JPEGImages/2008_003802.jpg
146	Not TV monitor	horse	JPEGImages/2008_003802.jpg
147	Not TV monitor	horse	JPEGImages/2008_003802.jpg
148	Not TV monitor	horse	JPEGImages/2008_004195.jpg
149	Not TV monitor	horse	JPEGImages/2008_004430.jpg
150	Not TV monitor	horse	JPEGImages/2008_004539.jpg
151	Not TV monitor	horse	JPEGImages/2008_004539.jpg
152	Not TV monitor	horse	JPEGImages/2008_004545.jpg
153	Not TV monitor	horse	JPEGImages/2008_004545.jpg
154	Not TV monitor	horse	JPEGImages/2008_004545.jpg
155	Not TV monitor	horse	JPEGImages/2008_004545.jpg
156	Not TV monitor	horse	JPEGImages/2008_004545.jpg
157	Not TV monitor	horse	JPEGImages/2008_004545.jpg
158	Not TV monitor	horse	JPEGImages/2008_004545.jpg
159	Not TV monitor	horse	JPEGImages/2008_004545.jpg
160	Not TV monitor	horse	JPEGImages/2008_004545.jpg
161	Not TV monitor	horse	JPEGImages/2008_004545.jpg
162	Not TV monitor	horse	JPEGImages/2008_004545.jpg
163	Not TV monitor	horse	JPEGImages/2008_004584.jpg
164	Not TV monitor	horse	JPEGImages/2008_004584.jpg
165	Not TV monitor	horse	JPEGImages/2008_004649.jpg
166	Not TV monitor	horse	JPEGImages/2008_004764.jpg
167	Not TV monitor	horse	JPEGImages/2008_004868.jpg
168	Not TV monitor	horse	JPEGImages/2008_004892.jpg
169	Not TV monitor	horse	JPEGImages/2008_004892.jpg
170	Not TV monitor	horse	JPEGImages/2008_004892.jpg
171	Not TV monitor	horse	JPEGImages/2008_004892.jpg
